time,emg1,emg2,label
1776066796.6091359,10,62,1
1776066796.610563,10,62,1
1776066796.611569,10,62,1
1776066796.615168,10,60,1
1776066796.6171992,10,60,1
1776066796.618964,10,60,1
1776066796.618964,10,60,1
1776066796.6232014,10,58,1
1776066796.6252043,10,58,1
1776066796.626588,10,56,1
1776066796.627594,10,54,1
1776066796.6312284,10,52,1
1776066796.632613,10,52,1
1776066796.6349807,10,52,1
1776066796.6349807,10,52,1
1776066796.6392226,10,52,1
1776066796.6412263,10,52,1
1776066796.642613,10,52,1
1776066796.6436186,10,54,1
1776066796.6472566,10,54,1
1776066796.6486125,10,54,1
1776066796.651218,10,54,1
1776066796.6519287,10,54,1
1776066796.6552186,10,52,1
1776066796.6572719,10,52,1
1776066796.6586626,10,52,1
1776066796.6596677,10,52,1
1776066796.6632679,10,52,1
1776066796.66528,12,52,1
1776066796.666663,12,50,1
1776066796.668462,12,52,1
1776066796.6712885,10,50,1
1776066796.6732996,10,50,1
1776066796.674758,12,48,1
1776066796.6757627,12,48,1
1776066796.6793036,12,48,1
1776066796.6813052,12,48,1
1776066796.682663,12,48,1
1776066796.6858625,12,48,1
1776066796.6891286,12,48,1
1776066796.6891286,12,50,1
1776066796.6903586,12,48,1
1776066796.6931012,12,50,1
1776066796.695325,12,50,1
1776066796.6972992,12,50,1
1776066796.6987624,12,50,1
1776066796.700662,12,50,1
1776066796.7033,12,50,1
1776066796.705338,12,50,1
1776066796.7069643,12,48,1
1776066796.7079284,12,48,1
1776066796.7113223,12,46,1
1776066796.7133524,12,48,1
1776066796.7147624,12,46,1
1776066796.7173405,10,44,1
1776066796.7192616,10,42,1
1776066796.7213504,10,42,1
1776066796.7233694,10,42,1
1776066796.725382,10,42,1
1776066796.7273753,10,42,1
1776066796.7287877,10,42,1
1776066796.7297928,10,42,1
1776066796.7333689,10,42,1
1776066796.7354631,10,42,1
1776066796.7367916,10,42,1
1776066796.7378042,10,42,1
1776066796.7413678,10,44,1
1776066796.7434032,10,44,1
1776066796.7447877,10,44,1
1776066796.7457933,10,44,1
1776066796.749059,10,44,1
1776066796.7514694,10,44,1
1776066796.7533607,10,44,1
1776066796.7533607,10,42,1
1776066796.7574377,10,42,1
1776066796.759425,10,42,1
1776066796.760813,10,42,1
1776066796.761819,10,44,1
1776066796.7654145,10,46,1
1776066796.7668133,10,48,1
1776066796.7688735,12,48,1
1776066796.7699633,12,50,1
1776066796.7732704,12,48,1
1776066796.7752988,12,48,1
1776066796.776838,12,48,1
1776066796.7778435,14,48,1
1776066796.7814486,12,48,1
1776066796.783067,12,50,1
1776066796.7852266,12,50,1
1776066796.7873337,12,50,1
1776066796.7894692,12,50,1
1776066796.7914507,12,50,1
1776066796.7928627,12,50,1
1776066796.7954738,12,50,1
1776066796.7974808,12,50,1
1776066796.7988627,12,50,1
1776066796.8016324,12,50,1
1776066796.803462,12,52,1
1776066796.805478,12,52,1
1776066796.807134,12,50,1
1776066796.8081596,12,50,1
1776066796.811523,12,50,1
1776066796.813501,12,48,1
1776066796.8148878,12,48,1
1776066796.817312,12,48,1
1776066796.8189774,12,50,1
1776066796.8215086,12,50,1
1776066796.822888,12,50,1
1776066796.8239818,12,50,1
1776066796.8275344,12,50,1
1776066796.8295243,12,50,1
1776066796.8309376,12,50,1
1776066796.8319428,12,50,1
1776066796.8356214,12,50,1
1776066796.837557,12,50,1
1776066796.8395557,12,50,1
1776066796.8406382,12,50,1
1776066796.8435483,12,50,1
1776066796.845559,12,50,1
1776066796.8469377,12,50,1
1776066796.8479424,12,52,1
1776066796.8516724,12,52,1
1776066796.853492,12,52,1
1776066796.8557222,12,50,1
1776066796.8557222,12,50,1
1776066796.8595667,12,52,1
1776066796.8615527,12,52,1
1776066796.8629625,12,52,1
1776066796.8639677,12,52,1
1776066796.8673263,12,52,1
1776066796.8689668,12,52,1
1776066796.871086,12,52,1
1776066796.8724673,12,54,1
1776066796.8754697,12,54,1
1776066796.8774738,12,52,1
1776066796.8784738,12,52,1
1776066796.8816996,12,50,1
1776066796.883024,12,50,1
1776066796.8857899,12,50,1
1776066796.8868365,12,52,1
1776066796.889728,14,50,1
1776066796.890768,12,50,1
1776066796.8927844,14,48,1
1776066796.893985,14,46,1
1776066796.8977375,14,46,1
1776066796.8988056,12,44,1
1776066796.901917,14,46,1
1776066796.903969,12,46,1
1776066796.9056547,12,48,1
1776066796.906767,12,48,1
1776066796.9098005,12,50,1
1776066796.9111314,12,50,1
1776066796.9136398,12,50,1
1776066796.914582,12,50,1
1776066796.9173343,12,50,1
1776066796.9197211,12,50,1
1776066796.9217973,12,48,1
1776066796.9231386,12,48,1
1776066796.925713,12,50,1
1776066796.927721,10,50,1
1776066796.9297225,12,50,1
1776066796.9309595,12,50,1
1776066796.9339955,12,52,1
1776066796.9357834,12,52,1
1776066796.9377916,12,52,1
1776066796.9394953,12,52,1
1776066796.941664,12,50,1
1776066796.9436638,12,50,1
1776066796.9459252,12,50,1
1776066796.9470682,12,48,1
1776066796.9490826,12,48,1
1776066796.9521215,12,48,1
1776066796.954883,12,48,1
1776066796.9558876,12,48,1
1776066796.9572327,12,48,1
1776066796.959332,12,48,1
1776066796.961219,12,48,1
1776066796.9632804,12,50,1
1776066796.965307,12,50,1
1776066796.9695277,12,52,1
1776066796.9700544,12,52,1
1776066796.9713054,12,54,1
1776066796.973354,12,54,1
1776066796.9754035,12,54,1
1776066796.9774828,12,52,1
1776066796.9794867,12,52,1
1776066796.9815836,12,52,1
1776066796.9845874,12,52,1
1776066796.9886863,12,50,1
1776066796.9899473,12,50,1
1776066796.9899473,12,50,1
1776066796.9930873,12,50,1
1776066796.9930873,12,50,1
1776066796.9948037,12,52,1
1776066796.9948037,12,52,1
1776066796.9948037,12,50,1
1776066797.0042908,12,50,1
1776066797.0042908,12,50,1
1776066797.0055063,12,50,1
1776066797.007704,12,50,1
1776066797.0097318,12,52,1
1776066797.0114934,12,52,1
1776066797.0135508,12,52,1
1776066797.0156996,12,52,1
1776066797.020811,12,52,1
1776066797.0220275,12,52,1
1776066797.0220275,12,54,1
1776066797.0240276,12,54,1
1776066797.0254972,12,52,1
1776066797.0275645,12,52,1
1776066797.0301502,12,50,1
1776066797.031417,12,50,1
1776066797.0357742,10,48,1
1776066797.0382042,10,48,1
1776066797.0382042,10,48,1
1776066797.0393314,10,46,1
1776066797.0413387,10,48,1
1776066797.043714,10,48,1
1776066797.0452213,10,48,1
1776066797.0473428,10,50,1
1776066797.0516074,10,50,1
1776066797.0545626,10,50,1
1776066797.055566,10,50,1
1776066797.055566,10,50,1
1776066797.0579822,10,46,1
1776066797.059247,12,46,1
1776066797.061763,12,46,1
1776066797.0627668,12,46,1
1776066797.0651798,14,46,1
1776066797.0672443,14,46,1
1776066797.0704496,14,46,1
1776066797.071563,14,46,1
1776066797.0736163,14,46,1
1776066797.0750947,14,46,1
1776066797.0771642,14,46,1
1776066797.0794218,14,46,1
1776066797.0820422,14,48,1
1776066797.0866604,14,48,1
1776066797.0866604,14,50,1
1776066797.0886652,16,50,1
1776066797.0900428,16,52,1
1776066797.091397,16,50,1
1776066797.0931468,16,50,1
1776066797.095187,16,48,1
1776066797.0972693,16,48,1
1776066797.0982842,16,44,1
1776066797.1015997,16,44,1
1776066797.1036692,16,44,1
1776066797.1062481,16,46,1
1776066797.1077368,16,44,1
1776066797.1101184,16,46,1
1776066797.1112494,16,46,1
1776066797.113271,16,48,1
1776066797.1142912,16,48,1
1776066797.1178083,16,48,1
1776066797.120167,16,46,1
1776066797.121194,16,48,1
1776066797.1221974,16,46,1
1776066797.1259456,16,48,1
1776066797.1279821,16,48,1
1776066797.129021,16,50,1
1776066797.1303842,16,50,1
1776066797.1339135,16,48,1
1776066797.1355448,16,48,1
1776066797.1376507,16,48,1
1776066797.1386566,16,48,1
1776066797.1420298,16,46,1
1776066797.1440833,16,46,1
1776066797.145088,16,46,1
1776066797.1461241,16,46,1
1776066797.1489801,16,48,1
